Header Length: 32
$$$Note: Please do not modify this file if you want to import it by Dactron software.$$$
Generated from Dactron Dual DSP Shaker Control software.
Version 9.0000
Signal external name: Trans0(f)
Signal internal name: Trans0(f)
Data was generated at time: 15:29:57, October 22, 2025
Data was saved as file at time: 15:29:57, October 22, 2025
Signal Type: Special Signal
Signal Operator: 4
Data Type: Real Frequency
Signal format: ASCII Tab Delimited 'X-Y Pair'
Sampling Frequency: 1 Hz
Block size: 512
Window type: None
Z axis size: 1
X axis start value: 5.0000004768372
X axis increment (Delta): 1.0104224681854
X axis increases by Log step
Z axis start value: 0
Z axis increment (Delta): 1
Z axis increases by Linear step
Excitation Channel: Force
Response Channel: Acceleration
Octave band: -1
Octave Low Frequency: 0 Hz
Octave High Frequency: 0 Hz
Octave Weighting: 
Is RPM Signal: 0
Data Layout Type:Sheet
Data Unit:2
Data Unit Resolution:1.000000e-001
	Z axis index:0	
	Value = 0.000000e+000	
HUnit	Y((gn)/(LBF))	
5.000000e+000	4.988164e-003	
5.052113e+000	5.090103e-003	
5.104768e+000	5.236258e-003	
5.157973e+000	5.355517e-003	
5.211731e+000	5.512471e-003	
5.266051e+000	5.641551e-003	
5.320936e+000	5.812207e-003	
5.376393e+000	5.967115e-003	
5.432428e+000	6.104450e-003	
5.489048e+000	6.306493e-003	
5.546257e+000	6.461687e-003	
5.604063e+000	6.669761e-003	
5.662471e+000	6.837254e-003	
5.721488e+000	7.019933e-003	
5.781120e+000	7.194436e-003	
5.841373e+000	7.399978e-003	
5.902255e+000	7.588374e-003	
5.963771e+000	7.775163e-003	
6.025928e+000	8.002359e-003	
6.088733e+000	8.250063e-003	
6.152193e+000	8.506698e-003	
6.216314e+000	8.763525e-003	
6.281103e+000	9.002351e-003	
6.346568e+000	9.308171e-003	
6.412715e+000	9.587686e-003	
6.479551e+000	9.884818e-003	
6.547084e+000	1.020498e-002	
6.615321e+000	1.052293e-002	
6.684269e+000	1.085193e-002	
6.753935e+000	1.119047e-002	
6.824328e+000	1.158194e-002	
6.895454e+000	1.195564e-002	
6.967322e+000	1.235877e-002	
7.039939e+000	1.278576e-002	
7.113312e+000	1.321258e-002	
7.187450e+000	1.368100e-002	
7.262361e+000	1.414686e-002	
7.338053e+000	1.464986e-002	
7.414534e+000	1.520031e-002	
7.491812e+000	1.576211e-002	
7.569895e+000	1.636070e-002	
7.648792e+000	1.699477e-002	
7.728511e+000	1.765059e-002	
7.809061e+000	1.839590e-002	
7.890451e+000	1.912291e-002	
7.972689e+000	1.990233e-002	
8.055784e+000	2.072615e-002	
8.139745e+000	2.162453e-002	
8.224581e+000	2.257069e-002	
8.310302e+000	2.361547e-002	
8.396916e+000	2.463865e-002	
8.484432e+000	2.585100e-002	
8.572861e+000	2.708341e-002	
8.662211e+000	2.844020e-002	
8.752493e+000	2.986434e-002	
8.843715e+000	3.148391e-002	
8.935889e+000	3.316108e-002	
9.029023e+000	3.503850e-002	
9.123128e+000	3.710091e-002	
9.218213e+000	3.938507e-002	
9.314290e+000	4.189728e-002	
9.411367e+000	4.465653e-002	
9.509457e+000	4.771908e-002	
9.608569e+000	5.115689e-002	
9.708714e+000	5.508553e-002	
9.809903e+000	5.965803e-002	
9.912146e+000	6.468342e-002	
1.001546e+001	7.073093e-002	
1.011984e+001	7.771488e-002	
1.022531e+001	8.611193e-002	
1.033189e+001	9.605061e-002	
1.043957e+001	1.084209e-001	
1.054838e+001	1.244964e-001	
1.065832e+001	1.452745e-001	
1.076940e+001	1.732999e-001	
1.088165e+001	2.137050e-001	
1.099506e+001	2.776005e-001	
1.110966e+001	3.897873e-001	
1.122545e+001	6.159912e-001	
1.134244e+001	1.067945e+000	
1.146066e+001	9.289913e-001	
1.158011e+001	5.375770e-001	
1.170080e+001	3.641205e-001	
1.182275e+001	2.729782e-001	
1.194598e+001	2.198527e-001	
1.207048e+001	1.837636e-001	
1.219629e+001	1.576561e-001	
1.232340e+001	1.388891e-001	
1.245184e+001	1.242741e-001	
1.258162e+001	1.126271e-001	
1.271275e+001	1.031672e-001	
1.284525e+001	9.510585e-002	
1.297913e+001	8.865656e-002	
1.311440e+001	8.291530e-002	
1.325109e+001	7.805005e-002	
1.338920e+001	7.375672e-002	
1.352875e+001	7.014146e-002	
1.366975e+001	6.683519e-002	
1.381222e+001	6.390270e-002	
1.395618e+001	6.124684e-002	
1.410164e+001	5.881622e-002	
1.424861e+001	5.663959e-002	
1.439712e+001	5.467398e-002	
1.454717e+001	5.280827e-002	
1.469879e+001	5.122067e-002	
1.485198e+001	4.956535e-002	
1.500678e+001	4.818114e-002	
1.516319e+001	4.687499e-002	
1.532122e+001	4.560697e-002	
1.548091e+001	4.451182e-002	
1.564226e+001	4.341869e-002	
1.580529e+001	4.241901e-002	
1.597002e+001	4.147979e-002	
1.613647e+001	4.059670e-002	
1.630465e+001	3.977547e-002	
1.647458e+001	3.894686e-002	
1.664629e+001	3.817784e-002	
1.681978e+001	3.746878e-002	
1.699509e+001	3.687891e-002	
1.717222e+001	3.639092e-002	
1.735120e+001	3.592457e-002	
1.753204e+001	3.546159e-002	
